SES_original,SES_AN_0.5,SES_AN_1,SES_AN_1.5,SES_AN_2,DES_original,DES_AN_0.5,DES_AN_1,DES_AN_1.5,DES_AN_2,TES_original,TES_AN_0.5,TES_AN_1,TES_AN_1.5,TES_AN_2,ARIMA_original,ARIMA_AN_0.5,ARIMA_AN_1,ARIMA_AN_1.5,ARIMA_AN_2,VAR_original,VAR_AN_0.5,VAR_AN_1,VAR_AN_1.5,VAR_AN_2,Multivariate_LGBM_original,Multivariate_LGBM_AN_0.5,Multivariate_LGBM_AN_1,Multivariate_LGBM_AN_1.5,Multivariate_LGBM_AN_2,RNN_original,RNN_AN_0.5,RNN_AN_1,RNN_AN_1.5,RNN_AN_2
754.5906876,386.2557075,386.2557075,2103.880658,2498.573815,254.5421254,48.63745989,48.63745989,2562.378873,2610.190537,378.6513619,229.1500063,229.1500063,2396.591549,2658.62339,351.3155736,53.20416437,53.20416437,2201.507502,2606.436324,835.6968166,171.0924809,171.0924809,1287.455147,2659.352439,894.0767948,136.3438034,136.3438034,2515.037669,2204.273075,806.1171893,698.5837951,698.5837951,707.138658,947.9788816
2868.399487,3908.754502,3908.754502,5641.650621,5648.458988,3279.1309,4781.802192,4781.802192,5812.148247,5817.745772,3339.113017,5050.367879,5050.367879,5879.319675,5876.45767,2818.45088,3896.783474,3896.783474,5808.172058,5804.233293,1845.811286,3873.974892,3873.974892,5777.796126,5293.109546,2929.0369,3038.291239,3038.291239,5573.493496,5762.797906,2954.506496,3216.533457,3216.533457,4042.748478,3206.633361
756.3316871,584.657059,584.657059,532.2404974,29.66906451,564.8960722,294.6172939,294.6172939,712.9778132,1001.922973,392.6302484,154.2360376,154.2360376,874.2884438,1717.346305,563.1911274,582.2700651,582.2700651,50329.55922,29.49018091,399.7802377,25.5580196,25.5580196,4199.025347,1811.365102,882.7724044,893.3754996,893.3754996,580.8307332,1377.921658,708.1957673,673.7005033,673.7005033,871.8035086,698.4474211
494.7484556,586.0678639,586.0678639,1038.927269,1295.292511,658.0517456,6.511072739,6.511072739,716.5485356,627.7103378,254.4788771,944.0542536,944.0542536,4148.975164,7265.304215,688.9125498,586.067891,586.067891,1306.961568,1558.554597,1095.438085,1457.347198,1457.347198,2031.732223,2019.35343,774.8036038,644.1446291,644.1446291,1365.625401,5717.518272,429.0131816,298.1323135,298.1323135,1038.868674,1473.059856
188.6358356,101.9390243,101.9390243,50.64141676,8.375219283,174.0935941,23.72078064,23.72078064,186.8250243,269.7182813,41.02651213,52.78076737,52.78076737,65.16764395,3.321209561,201.7320509,36.08615154,36.08615154,50.64131857,8.375159169,421.2175124,796.2886679,796.2886679,164.931007,173.3305436,456.6198676,38.29892171,38.29892171,8.300880489,166.8575485,150.5143538,95.08388374,95.08388374,130.4341637,200.4135773
922.3239736,1813.731977,1813.731977,2693.643539,2814.532823,1183.279135,2208.102025,2208.102025,2823.428232,2871.442851,1140.531394,2071.920112,2071.920112,2798.04743,2841.913236,1161.348008,1819.960951,1819.960951,2825.630513,2871.255749,326.4434774,247.1767662,247.1767662,2302.667901,2165.938984,1286.269859,1796.769719,1796.769719,2848.575464,2891.883152,569.4036472,908.3149292,908.3149292,1417.958394,1782.503586
272.0019705,315.9752084,315.9752084,333.8964102,1314.528832,343.1311895,431.3561942,431.3561942,1126.136759,2469.515132,598.5977076,614.9187208,614.9187208,942.5310497,2088.710733,282.3081062,328.6058894,328.6058894,333.8963488,2479.339565,528.7064589,211.7002991,211.7002991,212.8537693,1207.253941,89.85025298,81.67735625,81.67735625,892.039248,1885.421277,217.6603062,175.5296421,175.5296421,13.67276518,141.3947424
226.0018959,408.4321225,408.4321225,1881.916754,2947.752126,333.3797768,762.5767622,762.5767622,2779.809526,3312.735753,799.6343791,675.3098164,675.3098164,2171.668165,2620.710559,213.2680325,83.75537137,83.75537137,1759.171017,2392.856968,109.1054648,96.66308947,96.66308947,1861.946698,2450.875296,263.2742611,509.9578664,509.9578664,1232.994779,2807.207157,483.169138,539.8933036,539.8933036,477.1303184,930.4468603
1894.723099,1481.324419,1481.324419,953.4221392,4455.09097,1958.342345,791.5547162,791.5547162,2530.5244,4762.135952,2335.282601,1624.791712,1624.791712,1600.576391,4591.016992,1454.337001,1703.338017,1703.338017,1051.445516,7224.541732,2252.936805,889.9806102,889.9806102,1845.707125,1241.891281,2349.246561,1577.046891,1577.046891,1324.001593,3438.187308,2043.128108,1513.400997,1513.400997,217.6698341,220.5463707
2725.663521,3446.222249,3446.222249,9328.152596,11103.5348,1842.494887,3050.989477,3050.989477,3607.714287,10465.72635,2700.5098,1612.206882,1612.206882,3541.505186,8107.016311,1857.450361,3425.254355,3425.254355,9328.153105,11103.5347,2840.348744,4225.014782,4225.014782,6790.331348,9246.8911,2203.229214,2670.298128,2670.298128,4285.57583,10314.14799,2375.019785,3116.118389,3116.118389,5448.179951,5975.156934
